date,user_id,text
2018-09-24,--UqJOrThc60bw4ua1bBfQ,Quality food is quality food. It doesn't lie. I would say it has a cute set up but the food is like quality microwaved food.
2015-06-07,TseW_BaZU0wIjnBvrTTe4Q,"My new FAV place!  Most of you would know this restaurant perhaps by Gordon Ramsey's aired episode on Kitchen Nightmares - but NO nightmare here!  Amy's food is AMAZING!  The absolute BEST hummus I have ever eaten!  Everything we ordered was amazing all the way through the desserts!  Everything was so great we bought her cook book!  Besides the great food, Samy and Amy were extremely kind and went out of their way to make it a great experience!  Ladies and gentlemen this is why we don't believe everything we watch on TV!  If you pass by here you need to stop because it is an amazing place!  Thanks Amy and Samy for a great experience!  You definitely have an art and talent!"
2014-12-19,hmoffZbRVAB37kqJVtRA1A,I had a sweet tooth today and as I was checking out restaurants I came crossed Amy's so I went to her website. Their desserts look so good I thought I drive down and pick one up.   The desserts they have look amazing so I bought two pieces of cake which were delicious.   Somewhat expensive but well worth it.    I was with my son and we didn't have time to sit down and eat but he wanted to go back and actually try one of their meals.  The place was absolutely spotless.   A very feminine looking restaurant. The owners were there and were very nice.   One of the reasons I want to go back is because they had an interesting menu and the place was so clean. I'm dying to try a pear salad.   Maybe tomorrow
2010-09-10,OiGyY5vEOBodWrTB7nnnaw,"I have gotten 3 Private messages from Samy asking me to provide a reciept for this meal. I do not like to be bothered by the owner of an establishment telling me I lied. I did in fact eat here, and I didn't like it that much."
2012-12-13,T8LqkYbwMPZmvXSsUfN8sQ,"I went to ABC during the filming of Kitchen Nightmares, so that should tell you something right there. I already knew all about the hoopla surrounding this place and decided it was an experience not to be missed. Plus, I love Gordon Ramsay. The first night of reservations was a cluster-f. I never made it inside and was given a reservation for the following evening instead. In their defense, they had a problem with the POS that seemed to be like a ... nightmare. Ironic, no? We decided to have dinner on the patio next door and watched a very dramatic night unfold at ABC.The second night, we made it in. First off, let me just say that since this dining experience was rather atypical, I felt like some of the other diners were purposely trying to find things wrong with their meal. Aside from the fact that it's awkward to stuff your face with pasta in front of a camera, I tried my best to be impartial.Shortly after we were seated, Gordon eighty-sixed the ravioli for being of the frozen, store bought variety. No surprise there considering the reviews. I had already known to steer clear. I played it safe and ordered the bolognese. It was fine, but nothing to come back for. On the other hand, the pizza and humus were actually pretty darn good. None of us found any reason to complain about the food. In fact, I actually really enjoyed my boyfriend's sweet and spicy pasta rustica. I believe Amy makes the sweet and spicy marmalade cream sauce from scratch. It was quite good, if you like a bit of kick. My table was pretty agreeable until the bill arrived. I think this is where ABC struggles: customer service. If the customer has a problem, for some reason it is not smoothed over. The staff and owners go immediately on the defensive. You literally have to fight to make it right. It seemed very unreasonable to me that we had to point out to them what their menu stated. It didn't matter that we ordered it or double checked when it arrived to make sure that our order was correct. When the bill arrived and it was still incorrect, we were told that we were wrong. We had to point out that they were wrong by using their menu as evidence. Ridiculous.   As we were waiting for the corrected bill, Gordon brought to light some sketchy practices concerning the tip money. It seems the owners are skimming from the waitresses tips. I'm not exactly sure what was going on, but there was an argument where Gordon threw out the term ""slave labor."" Amy then came out to add that the cameras weren't around to see the waitresses when they were just standing around, as if that were a good enough excuse for the tip controversy. A few of the other patrons were pretty surprised and dismayed to find out how little the waitresses were paid. Hopefully, that is something that will be resolved because of the show. I would hate to think I tipped the owner 20% to argue with him over the size of pizza my dining companion ordered. Either way, the customer service and the behavior of the owners was a HUGE turnoff. In conclusion, ABC's biggest problem is customer service. There is none. The waitresses are scared, under-appreciated young girls, just trying to make it through the night. The food, for the most part, is actually pretty good. At least when Gordon is around kicking ass. I can't wait to see how this place is turned around because of the show. Personally, I hope the owners realize you catch a lot more bees with honey."
2011-05-23,cMEtAiW60I5wE_vLfTxoJQ,"Wow - I just read all of the reviews after my visit and am totally shocked.  The owners were nothing but lovely to my friend and I.  We completely enjoyed our Raspberry Champagne cocktails, the caramelized pear salad and our pastas.  The decor is french bistro and I love it, the patisserie case is exquisite and the service was impeccable!  I will definitely be coming back for a repeat visit!"
2014-09-29,6uREWrcg14EdD3UXvmPp0g,"My fiancee and I brought my daughter to Amy's for her 13th birthday upon her request.  We ordered the artichoke and jalapeño dip with the flat bread and it was absolutely AMAZING. We also had pizza and dessert and everything was great.  Amy even came out to wish my daughter a happy birthday.  Don't believe the negative hype,  the food is good!  I think it is really unfortunate that people are bashing them just because of the show, this is their livelihood!  I thought Sammy and Amy were very nice people and the food was very good."
2014-07-11,9XfK_mrVDMRhDsXU5LCaKg,"Tonight was my second visit to ABC. My family and I went there the first time because we were intrigued by the drama on Kitchen Nightmares. We are HUGE fans of Chef Gordon Ramsay and have seen every episode about 5 times.Trip 1 (summer of 2013): After watching the show we psyched ourselves out about how crazy the owners were. We were nervous going into the store and made our plan to go in and look at the desserts, pick something out, and eat it at home. Sammy was in the front and boxed up our desserts and rang us up. He was nice. We could see Amy in the back and anxiously hoped she would make an appearance. Alas, we did not get to meet her. We took our desserts to a friend's house and shared them all with each other. The desserts were great. Trip 2 (tonight): I went to a movie by myself. I kidded with my husband about going to see Amy. We had actually just seen the ABC episode yesterday and had a laugh about it again. After the movie I stopped in. I asked Sammy if he had anything with PB. He smiled and said yes. Amy was also out front. I made a comment that my family was a peanut butter family so that's what I wanted. She made a joke and then started to box it up while Sammy (I apologize if I am spelling his name wrong) rang me up. She asked if I was going right home, because if I wasn't she was going to give me some ice or something to keep it cold. As I was leaving she said she put some extra caramel in the box for me. I still got the jitters throughout the transaction because I kept waiting for something to happen (flashbacks to the Soup Nazi on Seinfeld), but they were both nice. I surprised my family with the dessert and we all dug in and agreed it was delicious. As much as I would love to have a cool ""Amy is crazy"" story, I don't. Both trips the owners were kind, the desserts were good, and there was no drama. I don't go to the movies at that location but maybe once or twice a year, but I will probably go to ABC again for a dessert the next time I am over that way. Also, I couldn't do 5 stars yet because I have never eaten a full meal, just the dessert. We talked tonight about trying lunch soon, so I will have to keep you updated."
2014-06-25,TYCkjEHPSJSnFb6m6GDluw,"Solid, perfectly executed, fresh ingredients in some very ecclectic flavor combinations.And the menu warns you about it before you order. And so does your server.BIG WINS:*** spaghetti with meat sauce. served piping hot fresh, fresh oregano, perfectly cooked pasta, delicious gravy.I'm serious about this one. cheesy goodness and just fresh. did I say fresh?*** chocolate cake dessert. so rich, i literally took one bite and i was on overload. boxed for to-go! nice!ECCLECTIC* ""caesar"" salad. more of a cobb/caesar hybrid with lots of cheese, hard-boiled egg, thiinly sliced italian ham and anchovy.  RICH and creamy, and CHEESY! but that's not a Caesar salad.* sweet and spicy sausage pasta. As in candy-sweet from reduced syrup. whoa! that's sweet.* caprese salad. mozzarella very stiff. spinach/greens mix. pesto's vinegar bites like a beast. wow sour!* pizza was not undercooked. fresh ingredients, but not a memory maker.Decor is eccentric as the menu. Strong purposeful choices are part of the fantasy world which is Amy's BC. Electric-powered wall-mounted candelabras (who wants drippy candle wax all over you?!) and ""who's the fairest of them all"" gold-painted-relief mirrors in 2-food cadence on the walls. By the way, there is a drippy-candle-wax display at the end of the dining room. :) Don't miss the diamond-checkerboard parlor tile, a la Alice in Wonderland. Completing the faux fantasy is the music. I can't remember this 90's artist's name, but it's Enigma-like middle-eastern dungeon music. [Edit: *found it*!! The artist is 'Delerium' and I do highly recommend their albums, but it's just a bit heavy while I'm dining... that's just me.]THE RESTOwner/waiter Sammy and his assistants were very friendly and attentive.The other patrons are regulars and one is staring and peering at us to see if she can detect an ulterior motive. We have none."
2013-11-29,xeuQZ3k-jTvr7c91As-chw,"This place is awesome!! Has incredible authentic food! We come here every time we are in Scottsdale!!We went tonight, not having been back in a year. The owner, who comes out to greet you, remembered my wife's favorite dish there... Incredible customer serviceIncredible ownershipIncredible food!!!Really an awesome experience"
